"x" "y" "z"
0.01165315 -0.02939904 0.1068262
0.009279629 0.00665052 -0.02631933
0.005731945 0.007304842 0.01021286
0.0004519467 -0.02380645 -0.02700233
-0.004362379 -0.009464754 -0.00146104
-0.001095664 -0.001330569 -0.01493848
-0.0004191591 0.00245887 0.001965591
-0.0008864384 0.005571543 -0.00649146
-0.003085937 -0.009525561 -0.003851901
-0.0003436752 -0.009934455 -0.0008162226
0.002101352 0.005294535 -0.001038912
0.001681334 -0.001773676 0.01062681
-0.001693136 -0.001206621 0.004965076
-0.001982079 -0.001697793 -0.00551919
-0.001070584 -0.006287833 0.002735384
0.003203217 0.00623501 0.01244139
0.05480713 0.07859789 0.09856425
-0.006150843 -0.04382283 -0.03427014
-0.004976439 -0.003370888 1.745962e-05
0.006662041 0.01319404 0.01098403
0.001190267 0.0004754479 -0.003237327
-0.02105797 -0.02373407 -0.01671857
-0.008023345 -0.01425673 -0.01037603
0.01756484 0.02922619 0.01016222
-0.0139587 -0.004876104 -0.009296058
0.005283325 0.009178971 -0.01497533
0.0009179759 -0.002498631 -0.02268387
-0.0002071833 -0.006730327 -0.01199027
-0.001164974 0.004597385 0.01030913
-0.005066028 -0.007032748 -0.007867286
-0.0001190856 0.003698457 -0.0009316173
-0.001773176 0.1050878 -0.0002218668
0.001967866 -0.01681828 -0.01339682
-0.004388547 0.0001627157 0.0001484876
0.0004272219 0.00483143 -0.008842168
0.001680698 -0.005720384 -0.00336999
-0.002922505 0.003221526 -0.002588136
0.001817151 -0.001892804 -0.007232763
-0.0004066691 -0.004280975 -0.01080716
2.274987e-05 0.003032834 0.006496565
-0.0008996485 0.005338626 0.0009891336
-6.02206e-05 0.0001728575 0.003165328
-6.544208e-05 -0.00285926 0.001715969
0.001959735 0.006686765 0.002794139
0.02748742 -0.0875849 -0.09726464
-0.001891134 0.03358893 -0.01386825
-0.003340991 -0.003397081 0.01260265
0.002124754 -0.009244043 -0.006928953
0.006751119 -0.005059523 -0.001571568
0.00212832 0.01466513 -0.006457921
-0.008684419 -0.0008149262 -0.001715874
0.0002403879 -0.02588913 0.001778569
0.001347082 -0.01630724 0.00671923
-1.391011e-06 0.00333653 0.003614112
0.003218028 0.004272052 0.000413437
-0.09748642 -0.0170921 0.009029861
-0.0148101 -0.001070711 0.006921499
0.01532334 -0.009602154 0.0007662431
-0.001835786 0.001514717 -0.0003205039
-0.01065706 0.0009562683 0.004775469
-0.001540066 0.004051116 -0.006771073
0.001601572 0.001533174 0.0003245365
-0.001813697 -0.0003540662 0.001285006
0.01294526 0.0004463356 0.00464433
0.007770431 0.003703761 0.008988744
-0.009260626 -0.002332583 -0.0007969152
-0.1568202 -0.03398929 0.07982381
0.04287306 -0.0005090404 -0.008940577
-0.006201157 0.007234695 -0.003570461
-0.01408311 -0.004292844 0.007621322
0.0144932 0.0007716728 -0.0001126586
-0.009956037 0.002408011 -0.005541504
