"x" "y" "z"
0.4374637 0.5313492 0.1365279
0.1702878 -0.06137388 0.05509624
-0.0387265 -0.06024968 0.02928903
-0.01012762 0.003590409 0.008402927
-0.03666528 -0.03242742 0.01398331
-0.02781567 -0.01495385 0.0112626
-0.007987777 0.01839334 -0.004648435
-0.003111179 0.02203141 -0.03861931
-0.002690875 -0.003964357 0.005807411
0.008948563 -0.0008625022 -0.008505226
-0.0001312365 0.008027996 -0.01232868
-0.006049755 -0.006019657 0.006191677
0.002834348 -0.007022364 0.0005628868
0.005014528 0.004887937 -0.0006099511
0.005290209 -0.003029855 0.007479734
-0.009081273 0.01528178 -0.01182275
-0.02172888 -0.001945009 -0.03037232
0.0315016 -0.0148177 -0.04344121
0.02768866 -0.01168414 -0.0112029
0.003767455 0.007773576 -0.001222952
0.004424433 -0.01573432 0.01143571
-0.05290641 -0.06821682 0.04124916
-0.0225939 0.03983152 -0.03062932
-0.05082771 0.02869885 -0.03357177
0.03068293 0.02469332 -0.001206968
-0.01188593 -0.03958831 0.008212509
0.04003171 0.006509987 0.02778363
-0.01109365 0.0008346684 0.01736456
0.02847967 0.007750015 -0.01766022
0.009109552 -0.0008590267 -0.008147656
0.01305796 0.01483757 -0.01047463
-0.03434671 -0.1000762 0.1893471
-0.02737277 0.01452481 0.02013286
-0.009653463 0.005081852 0.00999036
0.001165476 -0.0009106298 0.01041678
0.01309845 0.02924961 -0.04900502
0.004680145 -0.01222047 0.004442875
-0.00170871 0.004746528 0.02978555
-0.004240027 0.00809506 -0.01215542
0.0003967367 0.001102044 0.01028862
-0.0001757223 -0.01312056 1.906366e-05
-0.004723548 0.01083191 -0.005909284
-0.001649001 -0.01277726 0.004364883
0.0062956 -0.00673468 0.00621869
-0.2983847 -0.02639693 -0.3754024
-0.2103515 0.08121893 -0.2500758
-0.1236537 0.02675765 -0.08767823
-0.0329026 0.008500272 -0.04000627
0.01004433 -0.001375045 0.006813383
0.02056918 0.005677281 0.02281355
-0.007675727 0.02728178 -0.02573326
-0.004096799 0.004763892 0.0395812
0.001640788 0.001472254 -0.0007167771
0.003480238 -0.01299256 -0.006780915
0.003043101 0.005818706 0.002831153
0.03654161 -0.1258997 0.0883587
-0.01623657 -0.1662012 0.107479
0.001391285 -0.05405219 0.03689612
-0.01792056 -0.02646467 -0.01317722
-0.009552249 -0.008071879 -0.01546212
-0.006735392 0.01295739 -0.005337856
0.001098802 0.005527446 -0.002798081
-0.002220373 0.004760469 -0.001461112
0.005944612 -0.006255626 0.01046351
0.00527079 -0.003114342 0.009290144
-0.002331927 -0.0001344191 -0.01017258
0.3556901 -0.1776979 0.4718274
0.1968422 -0.1502109 0.2442061
0.07501192 -0.07908536 0.0902928
0.015309 -0.05921668 0.04245574
-0.01655367 0.004619111 -0.02686016
-0.02470249 0.01596281 -0.04164277
-0.006225337 0.002897548 0.003664555
-0.006498268 0.01024692 -0.01071448
-0.00218451 -0.002037874 0.005762192
0.009047819 0.01303364 -0.003215466
0.009084662 0.008109711 -0.007757736
0.005137482 -0.005048653 0.008139419
0.005753219 -0.002114665 0.005463871
-0.6562038 0.5171189 -0.2085947
-0.4569241 0.5756275 0.2937877
-0.4709439 -0.1696267 0.2701047
-0.1494817 0.4427161 -0.1221338
0.4822868 0.4210931 -0.1091653
0.2080988 -0.0447558 -0.01427852
0.3495046 -0.4623595 0.06268995
0.4819087 -0.1360055 0.312692
-0.4804635 -0.2343643 -0.3544528
-0.01294872 0.5783118 -0.2707059
-0.6667649 0.6712299 0.2130651
-0.4429186 0.8104122 0.1195389
-0.3494997 -0.01764193 0.2344248
0.1464665 0.1152452 0.2258395
0.141429 -0.1668091 -0.1654969
-0.1797494 0.2266272 0.103253
-0.6252631 0.02582688 -0.1305885
-0.2668249 -0.3550813 -0.4516601
-0.6361202 0.6261468 0.09967095
-0.2985241 0.01324037 0.06373503
0.5001628 0.3096348 0.3443866
0.4645385 -0.2515156 -0.02964588
0.4764987 -0.3365221 -0.004070118
0.06494938 -0.3078411 0.2963138
-0.4616281 0.0919211 -0.2921577
-0.3866258 0.5161758 0.216297
-0.2153396 0.01000317 0.1224775
-0.3206135 -0.07358032 0.03338388
0.1231336 0.1620073 0.0884283
0.008720816 -0.2101203 0.07334127
0.1365671 0.327327 0.1042105
0.1254714 0.1291688 0.3323971
0.2252651 0.1323185 0.1018245
0.05430718 0.2425561 0.1663523
-0.4122839 -0.3585415 -0.07488149
0.05581762 -0.43603 -0.3046962
0.5342015 0.2515464 0.08925971
-0.7506617 -0.3638112 -0.3361431
0.6052272 -0.5408112 -0.1528188
-0.2272468 -0.5589068 0.3948871
-0.8331471 -0.4649407 -0.2875205
0.529628 0.05830988 0.375523
-0.4689543 -0.4792808 0.4437737
-1.199614 -0.4891508 0.00341125
0.8365996 0.1309842 -0.01900246
0.01636021 0.2903813 0.1643533
0.9628825 -0.2683167 0.3621032
-0.4295539 0.3374784 0.6174367
-0.1724901 0.05694847 0.3858049
-0.7019784 0.03646059 -0.3861544
-0.8660658 -0.01704149 0.3559305
0.9989806 0.3222522 0.02605291
-1.221449 0.350127 -0.6035628
0.2769297 -0.8172924 -0.03454011
-0.6440646 0.610732 -0.07957451
-0.1527832 0.7277527 0.2930542
-0.1680946 0.6339476 0.07426665
0.07259983 0.4717012 0.3558486
0.9211241 -0.1984801 -0.1433271
0.1996978 0.3421718 0.5459058
0.4844691 0.7477574 0.3945066
0.7926447 0.01698833 -0.02593186
-0.3028629 -0.2832232 0.04656179
-0.2539035 -0.02332769 0.3308541
-0.6384644 -0.03625334 0.0888454
0.3676189 -0.06536752 0.1535604
0.6310956 0.5985776 0.6727837
1.544446 0.07207445 -0.008241682
0.5390471 0.1789912 0.7820443
0.5175349 -0.1416394 0.693834
0.7825399 0.7384202 0.6016905
-0.5387907 -0.1659502 0.3151212
-0.4832249 -0.1492158 -0.004224269
0.3280191 -0.4657453 0.506898
0.731395 0.126616 0.1608951
0.845235 0.3238615 0.3329475
0.5120543 0.04353135 1.069439
1.514146 0.4589148 -0.01546244
0.1759497 0.1705523 0.7693631
0.1969074 0.1294979 -0.11391
0.08190901 -0.02563259 0.009717345
0.01554766 -0.03696108 0.05061695
-0.01537604 -0.04076967 0.04191084
-0.008631893 0.003336681 0.003993243
-0.007928233 -0.06511263 0.05526296
-0.006858257 0.03558782 -0.03241794
-0.007091423 0.002480322 -0.004233288
0.006644486 0.006116507 -0.008079218
0.0008397379 0.0002372704 0.00909121
-0.005893146 -0.007216229 0.001062685
-0.07039135 -0.04388162 -0.05103271
0.02274216 -0.01535389 -0.03359812
0.002567849 -0.01713297 -0.02134939
0.004041355 -0.008106644 -0.003331157
-0.0009971671 0.007897175 0.009031828
-0.01001299 -0.006330817 0.002385071
0.005425339 0.002522409 0.008692542
-0.003444555 0.01552342 -0.00762805
-0.04702246 0.01498728 0.004044528
-0.006076615 -0.002249212 0.004683163
0.001777867 0.005677238 -0.007897883
-0.02440878 0.0185103 -0.01424974
0.03432229 0.03492115 -0.06879312
-0.06008624 0.01192219 -0.004751045
0.01351939 -0.0486132 0.08593443
0.001894317 -0.02806103 0.05850355
0.003998126 -0.009033481 0.02646372
-0.01049606 0.02247764 0.01277865
0.007845975 -0.1037786 0.02703827
-0.01162317 0.005524362 -0.00628875
0.0003356167 -0.00472761 -0.003344876
0.003746683 -0.004708323 -0.0009349269
