"x" "y" "z"
1.041216 -0.2697959 0.02377977
0.9991921 -0.2649349 0.1256164
0.9975931 -0.2639912 0.1507741
0.994564 -0.290593 0.1111986
0.9881504 -0.2838965 0.1338332
0.9897341 -0.2872004 0.1165006
0.989642 -0.2896484 0.1223934
0.9897889 -0.2854732 0.113879
0.9884495 -0.3003217 0.1196265
0.9895114 -0.3079605 0.1170255
0.9915353 -0.295521 0.1147758
0.990453 -0.2961402 0.1310342
0.9875647 -0.2952047 0.1290266
0.9876415 -0.2991647 0.1184804
0.9879834 -0.3067729 0.1233556
0.9892439 -0.302239 0.1324955
0.9576247 -0.3987956 0.06126732
0.9628812 -0.429933 0.01998663
0.9590408 -0.4135916 0.03318251
0.9670527 -0.3955013 0.04066523
0.9661157 -0.397721 0.0398585
0.9436558 -0.4251831 0.02686014
0.946919 -0.4407347 0.02318019
0.9727312 -0.4038301 0.03462417
0.9460064 -0.4150815 0.05577099
0.9702966 -0.3832214 0.06339107
0.9644952 -0.3947301 0.04583605
0.9628108 -0.4051594 0.04713442
0.9602366 -0.4018132 0.05942982
0.95853 -0.4070584 0.04888435
0.9623816 -0.3993944 0.05406696
1.002248 -0.06538069 0.1408118
1.01112 -0.1055414 0.1626141
1.009935 -0.1071868 0.1533005
1.013054 -0.1045123 0.1448022
1.014798 -0.1127809 0.1514024
1.010677 -0.0963291 0.1568997
1.01514 -0.09523984 0.1520005
1.013297 -0.1016762 0.1466265
1.012933 -0.09915531 0.1650253
1.011232 -0.09596287 0.1642936
1.012817 -0.1006169 0.1663137
1.012253 -0.1026757 0.1665483
1.014593 -0.09396639 0.1660666
1.010407 -0.1218867 0.06176761
1.031141 -0.1182073 0.03032867
1.019769 -0.1194058 0.05180646
1.025177 -0.1261572 0.04028946
1.030706 -0.1301329 0.0365251
1.025874 -0.1096295 0.02713458
1.015305 -0.1194355 0.03249425
1.024513 -0.1404739 0.03146051
1.025804 -0.1460062 0.03498794
1.022842 -0.1436728 0.0342989
1.026177 -0.1392967 0.02744652
-0.1738997 0.7218398 0.6725026
-0.1856734 0.7379949 0.6637488
-0.1664352 0.7245922 0.6652273
-0.1739468 0.7325981 0.6675751
-0.1828435 0.7294555 0.6759997
-0.175148 0.7288631 0.6676751
-0.1719908 0.7270977 0.6756066
-0.1751748 0.7249285 0.6787371
-0.1602512 0.7243674 0.6801951
-0.1610711 0.7292126 0.6829658
-0.1731563 0.7273829 0.6704965
-0.07178167 0.7991139 0.6418177
-0.08155405 0.7931116 0.6205412
-0.068935 0.7926901 0.6082028
-0.07300028 0.7860737 0.6223193
-0.05215227 0.7876692 0.6184319
-0.06611658 0.7905174 0.6115704
-0.04831238 0.7819451 0.6241703
-0.05895835 0.7931576 0.6252007
-0.05849978 0.7826179 0.6126752
-0.03586856 0.7863423 0.626493
-0.04591292 0.7855474 0.6200193
-0.05019344 0.781088 0.6264294
-0.03671591 0.7853775 0.6194532
0.9455455 -0.4315797 -0.05446144
1.153546 -0.2497159 -0.0849461
0.7064661 -0.223859 0.1136615
1.206166 -0.01594437 0.2721625
0.9188978 -0.2893304 -0.08811177
0.8408793 -0.4618109 0.04636886
0.8649986 -0.2209103 -0.08075008
1.05269 -0.2815455 -0.02911408
1.21791 -0.3955004 -0.1305459
1.205457 -0.5376811 -0.05159395
0.9974115 -0.2460536 -0.07116828
0.9992566 -0.3115459 0.03678226
0.9105225 -0.2214615 0.2058095
1.15501 -0.4849586 0.08405731
0.9112417 -0.5131185 -0.005089353
0.9742225 -0.2669871 0.06077573
1.126201 -0.172999 0.06339414
0.773461 -0.613949 -0.08179522
0.7109972 -0.2933809 0.02535854
0.930277 -0.215381 0.151262
1.313406 -0.5050571 0.045312
0.9057391 -0.5164194 -0.03726025
0.8995626 -0.2398409 -0.09273408
0.9402143 -0.1766224 0.1192806
1.278925 -0.3695557 -0.1321198
1.245792 -0.2795193 -0.03498558
0.7127552 -0.3121047 0.1147515
0.9272538 -0.2700534 0.1374952
1.31142 -0.2101508 0.1907044
0.6847647 -0.3059719 -0.1167891
0.9411338 -0.1579942 0.003445496
0.7932699 -0.2670928 -0.01238533
0.935907 -0.2438809 -0.04286191
0.8133409 -0.2552771 -0.06472078
0.8552878 -0.3875243 -0.01652147
0.8662386 -0.37341 0.04644418
